Author,Titulo,Review,OrigenAutor,FechaOpinion,FechaEstadia
,Ha bajado mucho,"Ya no es lo que solía ser... antes era exclusivo y ahora se llena de gente y eso se refleja en los restaurantes, falta de espacios, estacionamiento, sanitarios y la mala atención en algunos restaurantes. Especialmente Ronzino.Valdría la pena cobrar el ingreso y de esta manera se mantendría muy bien el nivel y la afluencia controlada de asistentes hasta cierto número.",,14 de marzo de 2024,feb de 2024
,"Nuevo, pero muy caro","Disneylandia italiana para adultos en México. Muy caro. Ocupado los fines de semana. Alojamiento de lujo. Muchos bares y restaurantes. Vale la pena visitarlo, pero no hay necesidad real de regresar.","Chapala, México",5 de marzo de 2024,feb de 2024
,"Hermoso lugar, ideal para 1 día","Es un lugar hermoso, es pequeño así que lo recomiendo para un sólo día, la comida es regular, visité 3 restaurantes diferentes (yo me quedé 2 días) las habitaciones que rentan son caras. La actividad de escape room es muy divertida.",,7 de febrero de 2024,abr de 2023
,"Ya no es lo que solía ser, ahora precios altos, espacios reducidos, servicios sanitarios insuficientes. No lo recomiendo","Solía ser un mejor lugar, pero parece ser que la ambición de los dueños ha hecho que todas las calles y plazas se reduzcan a tamaños no disfrutables ya que en fin de semana y festivos hay muchísima gente, solo queda una plaza grande y las demás las han llenado de mesas, departamentos, kioscos comerciales, etc. Los precios de todo han subido exponencialmente y los servicios sanitarios insuficientes. Definitivamente no lo recomiendo. Adjunto un mapa que me acaban de dar, pueden ver por si mismos que no hay plazas y las calles las han reducido al mínimo.","Ciudad de México, México",6 de febrero de 2024,feb de 2024
,Excelente  lugar,Un  lugar  muy bonito  con  mucho  ambiente  Excelente  para   pasear  con la  familia  y permiten   ingresar  mascotas,,22 de enero de 2024,dic de 2023
,LO MEJOR DE MÉXICO...... ALLÍ.,"Hermoso, georges, nunca antes visto. Bravo México. Bien HECHO/ LO MEJOR DE LO MEJOR DE LO MEJOR.","rockford, United States",18 de enero de 2024,ene de 2024
,"Bonito, caro y demasiada gente.","Muy bonita la villa, un lugar para conocer y no volver. Es como una plaza con estilo villa italiana, dónde todo es muy caro. En temporada navideña está llenisimo de gente y hay colas para todo. Los baños sin agua, tenías que cargar tu cubeta. El estacionamiento cierra a las 11 pero los restaurantes a las 8 y desde las 7:20 ya no nos recibieron en ningún restaurante para cenar. Después de las 8 solo están abiertos los pocos bares y el mini cine. Solo vale la pena conocer y tomarse algunas fotos.","Ciudad de México, México",5 de enero de 2024,dic de 2023
,Pretencioso y falso,Este lugar es falso: es más o menos un elegante centro comercial construido sobre una antigua granja aislada. El hecho de que esté hecho con adobe y piedra no hace que valga la pena visitarlo. Lamento profundamente haber perdido el tiempo yendo allí en lugar de pasar más tiempo en las dos notables ruinas de Cacaxtla y Xochitécatl. El estacionamiento es un caos y demasiado caro. Evitar a toda costa.,,1 de enero de 2024,dic de 2023
,Linda sorpresa y buen ambiente,"Súper bonito lugar, de día o de noche, vale mucho la pena, es gratis, a 2 horas de la cdmx, llevar zapato para caminar, todo es empedrado, para toda la familia, 3 horas de visita basta y se puede comer ahí mismo","Ciudad de México, México",30 de diciembre de 2023,dic de 2023
,Una tarde diferente y agradable,"El lugar es lindo , pero no es un pueblo, básicamente es un centro comercial que asemeja a la toscana.La comida buena, ticket promedio $600  p/p  El ambiente muy agradable, los empleados amables.Buena opción para quienes gustan de tomar fotos instagrameables y pasar una tarde diferente.Podrian mejorar los baños y el estacionamiento ","Cancún, México",29 de diciembre de 2023,dic de 2023
,Muy X,"Tiempo en llegar desde cdmx aproximadamente 2:30 minutos.Carretera complicada de regreso, bajadas pronunciadas, checar bien frenos antes de ir.Estacionamiento $100 tiempo libreEl estacionamiento no está pavimentado, está plano , pero termina todo empolvado tú auto.El lugar en pocas palabras es un centrito comercial pintoresco con ambiente de una campiña europea (chiquito).Variedad de restaurantes.Una pizza mediana 315 pesos refresco 55 pesosTicket promedio sin alcohol $440.00 pesos ya con propina.Lugar para tus fotos de IG .Yo no volvería y si me lo hubiera ahorrado.",Florencia,29 de diciembre de 2023,dic de 2023
,Cosas que deben mejorar,"La idea está muy padre, pero tienen que mejorar en señalamiento y en el tema de sanitarios, los restaurantes tienen 1 baño privado para damas pero caballeros están afuera o en algunos casos los restaurantes no tienen baños. En el tema de estacionamiento aunque existe una app, 2 cajeros automático para toda gente que afluye es muy poco",,10 de diciembre de 2023,dic de 2023
,La Toscana,"Pocos podrían creer que en México existe una campiña de estilo europeo repleta de árboles, arquitectura medieval junto a una reconfortante zona de restaurantes con comida internacional. Val’Quirco, es un desarrollo inmobiliario que es a la vez pueblo, un sitio turístico creado para satisfacer a visitantes y habitantes, que nació con la idea de fundar un lugar en donde convivan dos valores básicos de la vida en sociedad: el respeto y la solidaridad.","Amecameca, México",17 de noviembre de 2023,jul de 2023
,Mala atención a las personas de la tercera edad,"Es pesima la atención para personas de la tercera edad, la distancia entre el estacionamiento y los restaurantes es muy grande. No tienen suficientes sillas de ruedas y el servicio de las muchachas de la entrada no es bueno.",,9 de noviembre de 2023,nov de 2023
,Wow su show ecuestre me encanta 😊!,"Este pueblo tiene gran historia, es el primer reino y cuando conoces más de creación y fundación te vas a fascinar. Este pueblo que te transporta a la Toscana Italiana tiene de todo, tiendas, esa esencia mágica y pintoresca que lo vuelven único en México y hay shows impresionantes el show ecuestre está WOW 😃","Puebla, México",31 de octubre de 2023,oct de 2023
,Un pedacito europeo en tierras tlaxcaltecas,"Pasamos una tarde increíble, un lugar mágico donde se aplaude el esfuerzo para mantener el estilo en todo el fraccionamiento, nosotros reservamos con 3 horas de anticipación en un restaurante y todo estuvo excelente (estabamos cerca de la recepción y vimos muchas familias molestas por tener de 1 a 2 horas de espera para mesa por lo que reserva donde vayas a comer temprano) lo vas a disfrutar mucho en pareja, con amigos y en familia",,25 de octubre de 2023,oct de 2023
,Un lugar diferente para ir a conocer.,"La realidad es que el lugar es muy bonito pero es como una gran escenografía. El lugar es para ir a explorar y tomarte 80 selfies. Me tocó ir a desayunar y la verdad es carito; el ticket va del orden de $270 pesos (huevito, café osea tranquilo). Ir a conocer sí, sin duda; regresar varias veces pues ya  es para pensarlo)","Ciudad de México, México",30 de septiembre de 2023,sept de 2023
,"Pueblo falso, clasista y fundador corrupto","Lugar clasista, simplemente es un lugar en el cual no sientes que encajas, para gente blanca y rica. Literalmente es un inmueble diseñado para gente extranjera, gente blanca y rica, en el cual el pueblo mexicano trabaja para ellos y les sirve, no hay lugares para que puedas sentarte, y de querer hacerlo deberas consumir en algún restaurante, nos encontramos con un señor vendiendo tacos de canasta en su bicicleta, quisimos comprar y dijo que no podía vendernos tacos a nosotras, que solo estaba permitido para los trabajadores del lugar, pues claro solo tienes que consumir en locales caros.  La mitad del lugar está vacío, en construcción para más y más locales, da la sensación de un pueblo fantasma, y tratan de pintártelo como un pueblo en armonía entre la cultura mexicana y la reinvindicación de España. Incluso el fundador es un empresario que pacta con corruptos que hace desviación de recursos. Ver un poco más allá de spots para fotos.",,8 de septiembre de 2023,sept de 2023
,"Para whitexicans, clasista.","Todo el pueblo es una experiencia extraña. Es literalmente la representación de una colonia, vez a gente mexicana trabajando y construyendo en un sitio en el que no pueden consumir nada. Nos topamos con un señor vendiendo tacos de canasta y nos dijo que no nos podía vender pues solo tenía permitido venderle a los trabajadores. El lugar es caro en general y evidentemente solo había clientes whitexicans. Más de la mitad de los locales están vacíos por lo que además de ser un pueblo falso parecía un pueblo fantasma.Para colmo si entras a la página del “pueblo” el discurso que tiene es como una reivindicación de España en MÉXICO.Esta es la idea que yo me llevo. Esto no es un pueblo, es una colonia donde explotan a la gente mexicana para beneficio de unos pocos y unos muchos extranjeros.",,8 de septiembre de 2023,sept de 2023
,Pasa un día diferente,"Ideal para salir de la rutina y pasar un día en familia distinto. Muy cerca y  fácil de llegar desde Puebla. El lugar tiene muchas opciones para comer, hacer algunas compras y tomar muchas fotos. En la entrada hay una mini feria que es una súper atracción para los niños y adolescentes, todos nos divertimos mucho en esa sección 👍 nos tardamos 4 horas en toda la experiencia 👌","Tampico, México",27 de agosto de 2023,ago de 2023
,Encantador ,Un lugar mágico y espectacular. Ideal para viajar con amigos en fines de semana porque es mucha fiesta pero muy tranquilo entre semana ideal para viajar con familia tambien,,11 de agosto de 2023,ago de 2023
,"Val’quirico, un día para sentirse en la Europa campirana!","Es una visita muy interesante por cómo está ambientado, hay una gran variedad de comidas y bebidas y venta de productos muy, muy variados e interesantes. Prepárate para caminar!","Pachuca, México",9 de agosto de 2023,jul de 2023
,Muy buena experiencia para regresar,"Nos la pasamos muy bien, buen ambiente y buenA comida además de tiendas con arreglos navideños. El carrousel súper bien","Salamanca, México",5 de agosto de 2023,dic de 2022
,"Pesima, no vale la pena","Pesima, quieren que les pagues el acceso, cuando indica la pagina que no hay costo, los disque vigilantes me quieren cobrar para repartirse entre ellos...y estan de acuerdo con los encargados del acceso  , desde el estacionamiento. .. al parecer lo hacen seguido ...",,5 de agosto de 2023,ago de 2023
,clasista,"Solo para las fotos y ya. Si hay clasismo desde que llegas. En quince minutos  lo conoces todo; despues, solamente consumir en restaurantes normales. Simple centro comercial. No apto para niños.",,3 de agosto de 2023,ene de 2023
,Un pueblo medieval en México ,Muy bonito lugar una experiencia muy especial estar en México pero como si no estuvieras ahí un pueblo medieval enfrascado en un bosque demasiado bonito con muchos lugares lindos que ver y tomar fotos.,,16 de julio de 2023,jul de 2023
,Imperdible si visitas Puebla,"Nueva atracción a las afueras de Puebla, lleno de restaurantes para elegir para comer.El lugar está hermosamente hecho para tomar fotos en cada rincón",,15 de julio de 2023,jul de 2023
,Disfrutando del momento,"Aunque nos llovió, fuimos a cenar de lo más delicioso: ensalada, pizza de la casa, además de pasta...","Municipio de Hermosillo, México",11 de julio de 2023,jul de 2023
,Bonito,"Muy bonito, para ir de shopping. Si no vas a comprar o a comer te vas a aburrir. Es una plaza muy fotografíable",,8 de julio de 2023,jul de 2023
,Espectacular!!,"Excelente lugar para pasar el día en familia o amigos. Leí algunos comentarios negativos sobre la amabilidad de los guardias o con respecto al estacionamiento. Será que fui un jueves pero nada más lejos de la realidad . Los guardias o personal en general muy amables, el estacionamiento entre semana a $50 y el fin de semana a $100 no se me hace para nada caro porque es sin límite de tiempo. Si es al aire libre , pero esta muy ordenado y con guardias. El lugar, espectacular,nos encanto , muy instagrameable , los precios de los restaurantes no se me hicieron caros, obviamente hay muchas opciones y uno escoge la que más le convenga . Pero un cheque promedio de $600  por persona con buenos alimentos no se me hace lejos de la realidad. Sin duda volveré , no se olviden de ir al campo de la lavanda. ","Monterrey, México",6 de julio de 2023,jun de 2023
,Bueno a menos que llueva ,"Es bonito para pasar unas horas en pareja, con amigos o en familia si tus hijos son más grandes. Hay muchas tiendas (ropa, artesanías, chocolates) y restaurantes. La comida estuvo un poco cara pero muy sabrosa. Llovió y se inundaron las calles. No están nada preparados para lluvias. Usa zapatos cómodos. No hay mucho para niños pequeños. Fuimos un sábado y hubo varios grupos musicales (pero dejaron de tocar cuando empezó a llover). ",,2 de julio de 2023,jun de 2023
,Transportado a la Toscana,"La arquitectura te transporta a la Toscana, hermoso lugar lleno de cosas que hacer, estacionamiento de cuota",,19 de junio de 2023,jun de 2023
,Toscana Italiana en Tlaxcala,"Excelente lugar toda la arquitectura esta de ensueño se disfruta mucho del entorno, y los helados espectaculares, hay un show de perritos que la verdad vale mucho la pena al igual que la casa del escribano, y si les da hambre el restaurante español Ronzino muy recomendable, también hay un carrusel estilo veneciano, solo 80 pesitos la entrada, además siempre hay música fascinante, amigos vengan a visitarlos 100% recomendable.",,4 de junio de 2023,may de 2023
,Pésima experiencia,Una experiencia realmente mala.  Fuimos con amigos a conocer y comer pero no nos dejaron pasar. Las personas encargadas muy groseros totalmente cerrados no entendimos porque la negativa según que es propiedad privada y no fuimos los únicos había más personas que tampoco dejaron pasar.,"Aguascalientes, México",22 de mayo de 2023,may de 2023
,"Experiencia Mala, por gente falta de vision,podrían cobrar una cuota a la entrada general. Y no hacer esa groseria .","Viniendo.de.un viaje a Tlaxcala y de regreso un grupo familiar  viajando en en un autobús particular se nos ocurre ir a valquirico dejándolo en natividad y viajando en combis llegamos y al querer llegar a la entrada fuimos detenidos por unos cuidadores quienes nos negaron la entrada refiriendo que teníamos que pagar de 8000 a 9000 pesos ,cuando dice que no cobran la entrada así que si no tienes automóvil para estacionarse y pagar 100.00   por todas las personas que lleguen en el y no puedes pagar 200 pesos si no es que mas por persona  en el autobús(eramos 30 personas) y aunque todos íbamos a consumir porque nos bajamos en el.camino solo a comer y ni así nos dejaron entrar.asi que si tu pretendes ir a ese lugar piénsalo 2 veces eso es una grosería y doble moral 'no cobran la entrada'? En fin ellos se lo pierden  en otra ocasión  que vine pase sin pagar .Y la verdad todo es muy caro y nada que ver con calidad y sabor en la comida y sus tiendas  son caras. Lo único bonito son algunas construcciones estilo europeo. No lo recomiendo por groseros.","Cartagena, Colombia",21 de mayo de 2023,may de 2023
,"Lugar sobrevalorado, no vale ni la visita y los precios altos de todo","Lugar sobrevalorado, con mala comida y muy caro. Nada interesante por ver, mala planeación. No hay sombra ni donde sentarse si no haces consumo. 100 pesos de estacionamiento bajo el sol. No es recomendable llevar niños.","Valladolid, México",9 de mayo de 2023,may de 2023
,Valquirico rico y sabroso,"Padrisimo lugar y delicioso el Brisket en el restaurant Fahrenheit 250, igual unos mezcales mega buenos en el Alebrije Bar, sin duda lugares que valen mucho la pena, yo sí regreso!!!!",,5 de mayo de 2023,oct de 2022
,Visita a Val'Quirico de una noche,"Un lugar muy agradable, tranquilo, muy bonito y recomendable. Está muy limpio a pesar de la cantidad de gente que los visita. Muy recomendable para quedarse una o dos noches en sus hoteles.","Ciudad Satélite, México",1 de mayo de 2023,abr de 2023
,buena experiencia,"definitivamente un lugar donde ir a comer, gran variedad de restaurantes para todo gustos, precios justos pero no es barato. lo malo es el primer estacionamiento donde le quieren cobrar hasta seiscientos pesos y con la amenaza de no dejar entrar si no paga. evitar ese primer estacionamientos en los seguientes la cuota es razonable, algo asi como 60 pesos.",,23 de abril de 2023,feb de 2023
,Hermosa experiencia,"Muy bonito, accesible. Nos pareció un lugar nuy bonito, muchos lugares para buenas fotos. El campo de lavanda es pequeño pero muy bonito. Nos tocó día lluvioso, sin embargo pudimos disfrutar. En cuanto a precios nos parecieron accesibles.","Chetumal, México",22 de abril de 2023,abr de 2023
,Visualmente llama bastante la atención del turista.,"Si estás en Puebla o Tlaxcala es relativamente cerca. Nosotros como grupo, tomamos una combi y fue lo mejor.",,17 de abril de 2023,sept de 2022
,"Como en Europa, pero en Tlaxcala!","Como en Europa pero en Tlaxcala!!, es un representación de la toscana, hermoso lugar, buena comida de diferentes estilos y para todos los gustos, definitivamente es para quedarse por lo menos una noche!","Mérida, México",9 de abril de 2023,abr de 2023
,"Hermoso lugar para visitar en familia, amigos o pareja.","Un lugar que te transporta fuera de México a Europa, sus edificios, tiendas lugares, restaurantes muy bien ambientados. Sin duda regresaria","Mérida, México",8 de abril de 2023,abr de 2023
,Como ha crecido!,"Me impresione como desde la primera vez que visite el lugar en 2018, creció exponencialmente. Tiene muchas opciones de comida y tiendas para compra de artesanías, arte y curiosidades. Hay que ir temprano para aprovechar el día.",América del Sur,7 de abril de 2023,abr de 2023
