Author,Titulo,Review,OrigenAutor,FechaOpinion,FechaEstadia
,típs!,"Si llegan en automóvil y viajan fin de semana procuren buscar una calle alterna o paralela para estacionarse, una vez que llegas es súper pesado el tráfico porque es solo una calle súper angosta y los estacionamientos se aprovechan en costos, entonces para evitar pérdida de tiempo dejen el carro una o dos calles antes es seguro el lugar no hay problema.Cerca de la basílica ahí un  mercadito para comer.La basílica es muy bonita por dentro tiene amplias bancas y los fines de semana bendicen agua.","Tlaxcala, México",11 de febrero de 2019,ene de 2019
,Excelente lugar para visitar,"El edificio es muy bonito y refleja el estilo colonial, la acústica es excelente cuando hacen conciertos de música clásica suena muy bien.","Tlaxcala, México",15 de enero de 2019,jun de 2018
,No puedes omitir su visita,"Hermoso templo con una historia muy importante para Tlaxcala. Nos tocó la fiesta de la Basílica y, aunque no pudimos recorrer todo el templo por la cantidad de gente que estaba de visita, lo que visitamos valió la pena.","Ciudad Nezahualcóyotl, México",10 de enero de 2019,ene de 2019
,Sorprendente,Es sorprendente la historia de comos se construye la iglesia y las razones por la cual es muy venerada ya que no en todas regiones existen historias tan bellas,"Cancún, México",23 de noviembre de 2018,nov de 2018
,Un lugar religioso e histórico,"A pesar de estar en reparación es un lugar fantástico, por que pueden ir al pocito por agua bendita para beber o llevarse, para algún familiar, amigo o para uno mismo, es increíble escuchar la leyenda de la virgen y como aprecio el pocito.",,20 de noviembre de 2018,sept de 2018
,Una maravilla mundial escondida ,"Detalles exuberantes en el interior de una basílica escondida. Por fuera engaña por su sencillez, pero adentro es una monumental obra de arte sumergida en otra. Demasiados detalles y demasiada historia. Fue increíblemente interesante. ",,6 de noviembre de 2018,oct de 2018
,Una visita obligada,"El santuario de nuestra señora de Ocotlán es el principal centro religioso del estado de Tlaxcala, la historia de las apariciones de la Virgen María y del descubrimiento de su imagen es muy bella. Al ser un centro religioso, no está permitido recorrer el interior del templo durante las ceremonias. El lugar más recomendable de conocer es el camerín de la Virgen un espacio situado detrás del altar principal elaborado por un albañil agradecido por un milagro recibido, es una habitación bellísima, con oro por todas partes, sólo que se requiere suerte porque durante las ceremonias religiosas no es posible acceder, y cuando no hay misas es necesario contar con la buena disposición del cura o su personal de apoyo para que permitan el acceso.","Ciudad de México, México",6 de noviembre de 2018,nov de 2018
,LA BASILICA DE OCOTLAN,"Este hermoso lugar en un santuario en donde se venera a la Virgen de Ocotlán su santuario es un maravilloso conjunto arquitectónico religioso de Tlaxcala, se encuentra en la localidad de Ocotlán, en el municipio de Tlaxcala, está edificado  sobre una colina a tan sólo un kilómetro de la Ciudad de Tlaxcala. También puedes visitar el posito de agua santa que aún tiene agua y que puedes tomar para curar tus enfermedades, y llevarte una poca para compartirla.a las afueras del santuario encuentras toda clase de antojitos mexicanos, barbacoa y carnitas, pan de fiesta tradicional del estado. y mil cosas mas. ",,19 de octubre de 2018,oct de 2018
,Magnífica arquitectura e historia.,"No puedes dejar de visitar este maravilloso y emblemático lugar en Tlaxcala. Es muy importante que contrates un guía para conocer toda la historia que encierra, sobre todo no dejar de visitar la parte trasera de este recinto, pues posee una belleza y una historia muy particular. ","Cancún, México",16 de septiembre de 2018,jul de 2018
,Conociendo mexico,"Un increíble lugar, su arquitectura es muy hermosa sin duda es un punto que uno debe conocer, me encanto y espero volver pronto ta que cuando fui estaba su fachada en remodelacion aun asi fue un bella experiencia conocerla ",,5 de septiembre de 2018,jul de 2018
,Hermosa,"Una iglesia hermosa de estilo barroco que vale la pena visitar, sin duda es un lugar imperdible en el interior uno queda maravillado.",,29 de agosto de 2018,ago de 2018
,Basilica de  ocotlan Hermosa de  verdad!!!,"Esta  hermosa  basílica  cuenta  con su atrio muy limpio, sus  retablos, el camerino de  la Virgen  toda una experiencia  que  tienes  que  vivir..Muy cerca de ahí se encuentra el pozo de  agua  santa  con su historia llena de feligreses.cuando visites  Tlaxcala tienes que visitarlo.","Tlaxcala, México",27 de agosto de 2018,jun de 2018
,Hermosa Iglesi,Hola es una Iglesia preciosa y es increíble como la imagen de la Virgen de Ocotlán fue encontrada en el interior de un arból de ocote.A las afueras del atrio de la iglesia hay puestos de comida y artesanías.Me encanto.Se los recomiendo mucho,"Tlaxcala, México",27 de agosto de 2018,jul de 2018
,"Simplemente Espectacular""","Hermosa, con unos retablos muy impresionantes, aún en reconstrucción de la parte de enfrente, la pueden visitar tomando el tour de bus el cual es muy económico, vale muchola pena visitarla ya que te explican es una de las 6 mas hermosas del país","Tampico, México",14 de agosto de 2018,jul de 2018
,Bella la iglesia ,"Es hermosa la iglesia fuimos con el tour que hacen en el centro de Tlaxcala no es caro y la gente es muy amable linda, la iglesia tienes qué visitarla ","Cuatitlán Izcalli, México",9 de julio de 2018,jul de 2018
,Retablos impresionantes,"La basilica por fuera aún está siendo restaurada por el sismo del 19 de septiembre. Por fuera es una basilica normal, pero lo importante es lo de adentro, los retablos son impresionantes, una gran muestra del barroco mexicano. Recomiendo pasar también a la parte de atrás de donde está la virgen de Ocotlán, también es un lugar espectacular. No dejen de visitarlo, aunque no sean religiosos.","Ciudad de México, México",9 de julio de 2018,jul de 2018
,Bonita Iglesia,"Bonita iglesia, aunque no se encuentra al 100 por el sismo del pasado 19 de septiembre, pero se puede accesar sin problema al recinto, a sus afueras puedes comer algo o disfrutar una nieve.","Ciudad de México, México",13 de junio de 2018,jun de 2018
,Excelente muestra del Barroco Churriguresco Mexicano,"La Basilica de Ocotlan es una bella muestra del barroco Mexicano, su altar mayor asi como su sacristia son unicos en Mexico se recomienda visitar la capilla del pocito, tomese en cuenta que no es de facil acceso a personas con capacidades diferentes ya que es una prolongada escalinata sin rampas o acceso a silla de ruedas","Cuernavaca, México",2 de abril de 2018,mar de 2018
,Muy Bonita,"Visite esta basilica en febrero 2018 y por la parte de afuera esta dañada por el sismo del 19 de sept 2017, es una lastima!  ojala que la acaben de reparar pronto. Se puede visitar la parte de adentro, pero por fuera hay muchos andamios","Ciudad de México, México",26 de febrero de 2018,feb de 2018
,Deleite de abundancia barroca,"Uno de los mejores ejemplos del barroco expresado en retablos dorados y decoración de bóveda y cancel de entrada. Sitio importantísimo de la fe del México novohispano que recibió un rejuvenecimiento durante el barroco mediante la decoración de los altares con magníficos retablos cubiertos de hoja de oro, en donde infantiles ángeles pululan por columnas y techos. La talla de maderas en la puerta de entrada es muy buena.","Puebla, México",29 de enero de 2018,ene de 2018
,Visita obligada,"Si vas a Tlaxcala, es visita obligada la Basílica de Nuestra Señora de Ocotlán. Un templo con muchos valores, arquitectónicos y de fe.","Santiago de Querétaro, México",23 de enero de 2018,sept de 2017
,Esta iglesia es una joya,"Es una iglesia que cuenta con un altar literalmente forrado de oro que ya cuenta con sus buenos años pero con muy buena conservación, atrás del altar está el camerin que también es espectacular, ampliamente recomendable esta visita.","Ciudad de México, México",10 de enero de 2018,dic de 2017
,Religión y fe,"Hermoso lugar donde te narran la historia de la virgen de Ocotlán, enseguida nos encaminamos al lugar de las apariciones de la virgen y a recolectar el agua bendita que es de gran significado por la historia narrada. ",,23 de noviembre de 2017,nov de 2017
,Hermoso lugar,Vale la pena las restauraciones que se están haciendo a la Basílica después de los sismos para preservarla.,"San Luis Potosí, México",10 de noviembre de 2017,nov de 2017
,Un tesoro,"La imagen venerada en esta iglesia corresponde a Nuestra Señora de Ocotlán. Una advocacion mariana del siglo XVI muy querida por los pobladores. Ella se aparecio a un poblador que iba a buscar medicinas para su hijo enfermo en una gran epidemia. La Virgen le indicó que le llevara agua de un manantial que Ella hizo brotar para que se sane el pueblo. Desde esa epoca,  mucha gente va alli a recoger esa agua y a agradecer por los favores recibidos","Lima, Perú",9 de noviembre de 2017,nov de 2017
,Lugar que te pone en contacto con el Cielo,"Tiene la característica arquitectura barroca de la región, unos cuadros de la vida de la Virgen y la aparición en Ocotlán hermosos, pro el Camarín es literalmente sobrenatural. Su hermosura y ambiente de paz te llevan más allá de lo inmediato.","Ciudad de México, México",11 de octubre de 2017,oct de 2017
,Visita Tlaxcala,Un lugar maravilloso con excelentes vistas . la decoracion es magestuosa y representa uno de los mejores ejemplos de la arquitectura barroca. Lo recomiendo como una visita obligada en tu recorrido por Tlaxcala.,,18 de septiembre de 2017,sept de 2017
,Hermosa!!!!,Hicimos el recorrido en el tranvía turístico e hizo una parada en ésta iglesia que es realmente hermosa. La guía del tranvía nos dió muy bien la explicación.,"Morelia, México",17 de agosto de 2017,ago de 2017
,Magnífico ejemplo del barroco mexicano,"AL lado del centro histórico de Tlaxcala, se puede llegar caminando pero hay que subir, se puede llegar en auto y hay espacio donde estacionarse si no es fin de semana. El interior tiene una magnífica decoración barroca, conserva sus retablos originales y sus pinturas del siglo XVII, NO se pueden tomar fotos con flash pero si llevan una cámara profesional tendrán fotos increíbles, NO toque ni los retablos, ni las pinturas, ni la decoración por favor. Vale la pena visitarla y entrar a la sacristía y al camerino. No lleve niños pequeños, y si los lleva, por favor cuídelos, es el patrimonio de todos","Cuetzalán del Progreso, México",17 de agosto de 2017,jul de 2017
,Visiten la Basílica ,No se lo pueden perder! En el centro de Tlaxcala pueden contratar un tour por un costo realmente económico. En el paseo los llevan a conocer esta maravilla del Churrigueresco. ,"San Luis Potosí, México",2 de agosto de 2017,ago de 2017
,Una  visita obligada en Tlaxcala,"Construido con estilo del barroco estípite o churrigueresco en México, es un templo emblemático en Tlaxcala; dentro del mismo es importante visitar el Camerin de la Virgen.Saliendo a unos escasos metros recorrer la calzada de los misterios y llegar al ""Pozito"". ","México Central Y Costa Del Golfo, México",2 de agosto de 2017,ago de 2017
,Sitio obligado por belleza ,"Un santuario en lo alto de la ciudad. Con vistas maravillosas desde su atrio a los volcanes. Pedir visita al camerino de la Virgen. Un guía nos explica las apariciones previas a las de Guadalupe, en la búsqueda de los evangelizadores por usar los sitios sagrados antiguos. El oro en altares y paredes es espectacular . Ojalá les tocara con fiesta  aunque en silencio es sobrecogedora ",,27 de julio de 2017,mar de 2017
,Diferente,"Como lugareña puedo decir que es una estructura bella y diferente a las iglesias/parroquias en Tlaxcala a pesar que le falta su debido mantenimiento, El camerín, es obligado así como la visita de cerca a la Virgen de Ocotlán, En domingos hay mercado de antojitos para poder disfrutar más de la visita.","Tlaxcala, México",23 de julio de 2017,jun de 2017
,Preciosa,"Preciosa!!!!!Es una visita obligada si se visita Tlaxcala. Hay que tratar de entrar al camerino de la Virgen, no siempre está abierto.",df,21 de julio de 2017,jul de 2017
,Lugar encantador,"Este es un lugar muy lindo y agradable para recorrer caminando y refrescante, y la vista del Estado es muy agradable",,18 de junio de 2017,jun de 2017
,Bastante entretenido ,"Muy bonita la Iglesia, con arquitectura bellísima. Fuimos en domingo y había mucha vendimia de cosas muy ricas, nieves, decoración y plantas. El camino es hacia arriba, no lo recomendaría caminado, aunque sí es posible.",8709511,28 de mayo de 2017,may de 2017
,Hermosa iglesia,Es una iglesia barroca muy bonita e interesante. Vale la pena ir a verla. En mayo es la fiesta y hay mucha tradición y comida buena afuera tipo feria,"Cancún, México",21 de mayo de 2017,may de 2017
,Visita obligada,Hermosa arquitectura adornada por detalles en su fachada y la vista también es espectacular sobre todo el atardecer,"Tetla, México",11 de mayo de 2017,dic de 2016
,Imperdible si visitas Tlaxcala,"Si gustas por el arte sacro o la arquitectura barroca este lugar te dejará atónito, en verdad vale la pena subir el pesado camino a pie y pasar por la capilla del chorrito, la recomiendo mucho y más en el atardecer","Londres, UK",24 de marzo de 2017,mar de 2017
,Visita obligada en Tlaxcala,"Al margen de quye es uno de los centros de peregrinación más importantes del país, la Basílica te invita a disfrutar con la familia la belleza de Tlaxcala. Si vas el domingo, puedes disfrutar de la gastronomía local a muy buen precio. Luego puedes pasar al pocito, un pozo con agua milagrosa que según algunos vecinos del lugar, si bebes de ahí, jamás te iras de Tlaxcala.","Tlaxcala, México",22 de marzo de 2017,jul de 2016
,Hermosa Iglesia,"Tienes que visitar la capilla detrás del altar. Hay algunos hermosos cuadros además de una mesa que debe ser visto. La parte superior de la tabla desde el tronco de un árbol (una pieza sólida). Imagine el número de años de la era del árbol.Hay una historia que cuando el estatuto de nuestra Señora era de primera, el sacerdote estaba a favor de la estatua de San Lorenzo. El sacerdote sin lugar San Lorenzo mayor que María, pero cada mañana. . . las estatuas fueron invertidas. El sacerdote pensando que alguien estaba haciendo esto, él cerró la estatuto de Nuestra Señora en un baúl. Para su sorpresa, nuestra Señora estaba por encima de San Lorenzo.Uno de los encargados de allí, habla el idioma original que Juan Diego hablaba. Él es una enciclopedia.","West Covina, CA",18 de marzo de 2017,mar de 2017
,Visita breve ,"Es como una de tantas iglesias en México con una bonita arquitectura pero poco que ver, aún que no te quitará mucho tiempo conocerla, en mi opinión es buena opción para ir en domingo pues puedes desayunar rico y económico en un mercado que montan a las afueras ",Tlaxcala,12 de marzo de 2017,mar de 2017
,Excelente,Un lugar sensacional y Maravilloso realmente su organo es único en su tipo vale la en a visitarlo cualquier día.,"Tlaxcala, México",15 de febrero de 2017,nov de 2016
,Hermosa,"Es un must si vas a Tlaxcala, una de las iglesias más bonitas que he visto en México y en el mundo .","Ciudad de México, México",12 de febrero de 2017,feb de 2017
,Extraordinaria ,"Una visita imperdible para aquellos que gustan del turismo religioso, una basílica con toda la representatividad de la arquitectura barroca de la época .","Ciudad de México, México",22 de enero de 2017,ene de 2017
,Bonita ,"La caminada está dura para llegar del centro a este lugar, tiene buenos detalles de arquitectura y una vista privilegiada hacia la ciudad de Tlaxcala. ","Zacatecas, México",16 de enero de 2017,ene de 2017
,Me fascina,Me fascina. Es una joya del barroco y se encuentra en una lomA. Los retablos barrocos son dignos de visitarse con toda la calma. Prepara tu cámara. ,"Ciudad de México, México",6 de enero de 2017,ene de 2017
,Excelente iglesia,"Muy bonita por fuera y por dentro, a nosotros nos llevó un guía de turismo y está muy bien por qué nos explicó un poco de la historia y también cada detalle de la construcción y del arte que está dentro de ella.",,6 de enero de 2017,ene de 2017
,"Sin duda, uno de los mayores logros del barroco estípite o churrigueresco en México","Esta Basílica tiene su historia desde el año 1541A escasos diez años de la aparición de la Virgen de Guadalupe al indígena Juan Diego de origen mexica, se aparece de nuevo a otro Juan Diego del pueblo enemigo de éstos: Tlaxcala.La aparición se llevó acabo en Ocotlán. Al atardecer de un día ya próximo a la primavera de 1541. Lugar obligado si andas por el Centro de Tlaxcala. La basílica esta a dos km de ahi.","Ciudad de México, México",19 de diciembre de 2016,nov de 2016
,Con buena gua excelente recorrido,"La mágica experiencia de visitar lugares que en lo personal, llenan de paz y tranquilidad exponencian la visita y generan unas ganas importantes de regresar.","Villahermosa, México",16 de noviembre de 2016,dic de 2015
,Un lugar con mucha tradición,"Si tienes tiempo puedes caminar desde el zócalo de Tlaxcala hacia la cima para llegar a la Basílica de Ocotlán, es una iglesia pequeña pero en ella encontrarás a la Virgen que se apareció en un árbol (ocote). O bien puedes tomar un taxi que son muy económicos. ",,7 de octubre de 2016,sept de 2016
,Muy bonito,"Muy impresionante la manera en que está decorada esta iglesia, de las pocas cosas interesantes a visitar en Tlaxcala ","Aguascalientes, México",23 de septiembre de 2016,sept de 2016
,Bello,"Muy bello lugar, se respira tranquilidad en el ambiente, vale la pena visitarlo por el puro gusto de admirar la arquitectura.","Ciudad de México, México",22 de septiembre de 2016,sept de 2016
,Magnifica Arquitectura,"Una emblemática construcción que domina el panorama Tlaxcalteca, hermoso con mucha historia, lamentablemente se nota la falta fe cuidados y mantenimiento. Ojalá puedan rescatarlo ya que es realmente hermoso","Ciudad de México, México",21 de septiembre de 2016,sept de 2016
,"impresionante, maravilloso, lo mejor que he visto por la historia que envuelve","lo unico que recomiendo es que consigan un tour, pues lo que vale la pena es escuchar la historia que tiene este lugar, todo es muy interesante incluso para los niños, el lugar, la historia y las imagenes que tiene este lugar son maravillosas","Ciudad de México, México",20 de septiembre de 2016,sept de 2016
,Muy bonita la basílica.,"Una visita obligada. Si tomas el paseo del tranvía en el centro, ellos te llevan y te permiten bajar a visitarla.Esta muy bonita y tiene cosas increíbles, de verdad no te la puedes perder.","Atizapán de Zaragoza, México",20 de septiembre de 2016,sept de 2016
,Excelente muestra del barroco mexicano,"Es una de las joyas barrocas de México. Vale mucho la pena verla, si es posible contrate un guía para que le oriente respecto a lo que vale la pena ver y conocer. Para estudiarla a fondo se requiere al menos un día completo. Está enclavada en la cima de una de la colinas que rodean el centro histórico de la ciudad de Tlaxcala. Los murales de la sacristía, antesacrístía y del interior del templo son de muy buena calidad.",,21 de agosto de 2016,jul de 2016
,Espectacular,"No dejen de visitarla, recomendado con guía, pues a parte de la iglesia visitan el convento franciscano de 1530 que está a un lado y la sacristía que cuenta con unas hermosas pinturas en tela de un pintor tlaxcalteca del siglo 17 con escuela de pintura de los franciscanos, muy interesantes en su interpretación. Yo tomé el tranvía que hace el citytour y para allí y el guía los acompaña y explica muy bien. Pregunten si está abierto el camerino, que es el lugar donde preparan a la virgen para su fiesta, es un recinto pequeño detrás de la iglesia, impresionante en su arquitectura y sobretodo su techo, ahí les agrego las fotos","Yautepec, México",20 de agosto de 2016,ago de 2016
,Retablos muy lindos,"Para los amantes del turismo cultural, iglesias y arte sacro.Retablos muy lindos, cuadroe muy bellos. La imagen de la virgen impone.","Ciudad de México, México",14 de agosto de 2016,ago de 2016
,Iglesia donde admirar su arquitectura,"Es una bella iglesia del siglo XVI que hay que admirar por su arquitectura barroca, esta situada el Ocotlan, en su acceso esta el convento de la iglesia, la cual también ofrece hospedaje con o sin alimentos (no me he hospedado ahí), la restricción es el horario.","San Luis Potosí, México",29 de julio de 2016,jul de 2016
,si te interesa el arte sacro,"si te interesa el arte sacro este es un buen lugar , pero sino no hay mucho que ver en esta ubicacion",,27 de julio de 2016,mar de 2016
,Vale la pena conocerla,"Cuando visites Tlaxcala es un lugar que debes visitar, decoración hermosa, un lugar muy bonito, la historia de la virgen es muy especial inclusive para los no católicos. El camerín es precioso la piezas artísticas con las que cuenta.",,26 de julio de 2016,jun de 2016
,Preciosa Basílica ,"Si visitas Tlaxcala tienes que ir a ver la Basilica, por fuera es muy bonita y por dentro espectacular, de estilo barroco churrigueresco, es excelente estado. A must en Tlaxcala o por el rumbo. ","Dallas, TX",22 de julio de 2016,jul de 2016
,Un altar bellísimo,"Si se viaja a Tlaxcala no dejen de visitarla, en Tlaxcala hay más de 300 templos a caual más de hermoso, afuera de la catedral venden una nieves muy sabrosas",,21 de julio de 2016,jul de 2016
,Una Basílica diferente,Muy linda importante que alguien te diga deben entrar al Camerin y bajar después al pozo del manantial de la virgen de Ocotlán Que alguien te de la expoliación ,,20 de julio de 2016,jul de 2016
,Muy bonita,"Vale mucho la pena dar la vuelta por el lugar, esta muy bonito ya dejan tomar fotos agusto,  esta muy cerca del centro ","Ciudad de México, México",17 de julio de 2016,jul de 2016
,Acogedora!!,"Muy linda la catedral, muy hogareña y para llegar de manera muy fácil.....combina con el concepto de la ciudad.",,11 de julio de 2016,jul de 2016
,"Una iglesia diferente, bella por fuera y por dentro ","La construcción es de ladrillo y argamasa, y se encuentra muy bien conservada. Por dentro es impresionante el retablo churrigueresco del altar. El atrio de la iglesia es muy amplio y al salir se encuentra una plaza en la que se instala un Mercado el sábado. Ahí venden unos quesos deliciosos y muy rica comida. Es una visita obligada en Tlaxcala. ","Ciudad de México, México",5 de julio de 2016,jul de 2016
,Es una iglesia hermosa,"Tienen en la parte posterior del altar un área muy hermosa, si bien la iglesia en su conjunto es bella esta área se lleva la corona, vale la pena solicitar el acceso al parroco si es que esta cerrada","Santiago de Querétaro, México",3 de julio de 2016,may de 2016
,Muy bonita,Muy interesante visitar. El lugar también ofrece una gran vista de popocatepetl... imprescindible visto en tlaxcala.,"La Paz, Bolivia",26 de junio de 2016,jun de 2016
,Tlaxcala la bella ,Excelente lugar para visitar!!!  La Basílica es una de las mas bonitas de Tlaxcala y lo mas bonito es que te dejan entrar y recorrerla por completoNo solo la Basílica sino el estado completo!!!  ,,26 de junio de 2016,jun de 2016
,Basílica llena de historia y arte!,"Con una combinación de colores brillantes, acabados antiguos y un gran patio donde, al salir encontraras la magia de los típicos mercados mexicano, definitivamente un lugar que debes de visitar, ya que tiene mucha historia y por dentro es espacioso.Bonus: Mercado con artesanías y comida tradicional a unos pasos de la basílica.",,8 de junio de 2016,sept de 2015
,"hermosa basilica, llena de historia y  de una enorme fuerza que la gente que la visita, la comparte ...la fé","Los  festejos más bonitos  y llenos de FÉ son en el mes de mayo, donde la bajada  de la virgen de Ocotlan  a visitar la ciudad de Tlaxcala y el cambio  de su atuendo en el CAMERIN   DE LA VIRGEN , es un ritual  de ensueño y ARTE! VISITENLA EL DIA 20  DE MAYO.. NO SE ARREPENTIRAN!!","Tlaxcala, México",1 de junio de 2016,may de 2016
